date,year,month,month_name,admin1,governorate,gov_pcode,event_type,events,fatalities
2016-01-01,2016,1,January,West Bank,Jenin,PS0101,political_violence,2,0
2016-01-01,2016,1,January,West Bank,Jericho,PS0135,political_violence,0,0
2016-01-01,2016,1,January,West Bank,Qalqilya,PS0120,political_violence,6,0
2016-01-01,2016,1,January,West Bank,Salfit,PS0125,political_violence,3,2
2016-01-01,2016,1,January,West Bank,Nablus,PS0115,political_violence,6,4
2016-01-01,2016,1,January,West Bank,Ramallah and Al Bireh,PS0130,political_violence,9,4
2016-01-01,2016,1,January,West Bank,Bethlehem,PS0145,political_violence,15,2
2016-01-01,2016,1,January,West Bank,Al Quds,PS0140,political_violence,16,1
2016-01-01,2016,1,January,West Bank,Hebron,PS0150,political_violence,14,13
2016-01-01,2016,1,January,West Bank,Tulkarm,PS0110,political_violence,3,0
2016-01-01,2016,1,January,West Bank,Tubas,PS0105,political_violence,2,0
2016-02-01,2016,2,February,West Bank,Jenin,PS0101,political_violence,8,3
2016-02-01,2016,2,February,West Bank,Jericho,PS0135,political_violence,1,1
2016-02-01,2016,2,February,West Bank,Qalqilya,PS0120,political_violence,3,0
2016-02-01,2016,2,February,West Bank,Salfit,PS0125,political_violence,1,0
2016-02-01,2016,2,February,West Bank,Nablus,PS0115,political_violence,9,1
2016-02-01,2016,2,February,West Bank,Ramallah and Al Bireh,PS0130,political_violence,8,2
2016-02-01,2016,2,February,West Bank,Bethlehem,PS0145,political_violence,14,3
2016-02-01,2016,2,February,West Bank,Al Quds,PS0140,political_violence,15,11
2016-02-01,2016,2,February,West Bank,Hebron,PS0150,political_violence,11,4
2016-02-01,2016,2,February,West Bank,Tulkarm,PS0110,political_violence,2,1
2016-02-01,2016,2,February,West Bank,Tubas,PS0105,political_violence,0,0
2016-03-01,2016,3,March,West Bank,Jenin,PS0101,political_violence,2,0
2016-03-01,2016,3,March,West Bank,Jericho,PS0135,political_violence,1,0
2016-03-01,2016,3,March,West Bank,Qalqilya,PS0120,political_violence,2,0
2016-03-01,2016,3,March,West Bank,Salfit,PS0125,political_violence,3,3
2016-03-01,2016,3,March,West Bank,Nablus,PS0115,political_violence,8,2
2016-03-01,2016,3,March,West Bank,Ramallah and Al Bireh,PS0130,political_violence,4,0
2016-03-01,2016,3,March,West Bank,Bethlehem,PS0145,political_violence,8,0
2016-03-01,2016,3,March,West Bank,Al Quds,PS0140,political_violence,14,4
