metric,value
total_civilian_targeting_events,15270
total_fatalities,404
first_year,2016
last_year,2026
harvest_season_event_share_pct,19.7
mapped_orchard_polygons,1575
mapped_orchard_area_dunums,103153
mapped_orchard_area_hectares,10315
top_governorate_events,Nablus
top_governorate_events_count,2886
events_targeting_pal_civilians,13749
events_perp_settlers,2137
events_perp_state_forces,7019
events_mention_olive_or_tree,1032
events_mention_livestock,532
events_within_2km_pct,65
events_within_5km_pct,94
event_settlement_distance_median_km,1.5
total_settlements,174
settlement_area_dunums,62712
settlements_events_pearson_r,0.67
settler_pop_first_year,1972
settler_pop_first_wb,800
settler_pop_last_year,2025
settler_pop_last_wb,529704
settler_pop_last_combined_year,2025
settler_pop_last_combined,775704
settler_pop_growth_multiple,662
settler_pop_added_since_oslo,418804
settler_pop_oslo_baseline,110900
