governorate,orchard_count,area_dunums,area_ha
Jericho,371,41014.05400026657,4101.405400026657
Tulkarm,28,13472.703603829246,1347.2703603829245
Jenin,132,11075.684176163455,1107.5684176163456
Bethlehem,400,10069.546229719199,1006.9546229719199
Qalqilya,51,5829.8007677897085,582.9800767789709
Nablus,66,5695.878817428792,569.5878817428792
Jerusalem,218,4682.523719600815,468.25237196008146
Salfit,26,4072.796465162962,407.27964651629617
Ramallah,66,3321.4635538682974,332.1463553868297
Hebron,162,2521.3144102444226,252.13144102444224
Tubas,55,1398.174287275002,139.8174287275002
