year,west_bank_excl_jerusalem,east_jerusalem,source,note,total_with_jerusalem,wb_growth_multiple
1972,800,8649.0,Peace Now / Israeli CBS via FMEP,,9449,1.0
1976,3200,30000.0,Peace Now / FMEP,East Jerusalem figure approximate,33200,4.0
1983,22800,76095.0,Peace Now / Israeli CBS via FMEP,,98895,28.5
1988,63600,110000.0,Peace Now / FMEP,East Jerusalem figure approximate,173600,79.5
1993,110900,152800.0,Peace Now / FMEP,Oslo I year,263700,138.6
1995,133200,157300.0,Peace Now / FMEP,,290500,166.5
2000,198300,172250.0,Peace Now / FMEP,Second Intifada start,370550,247.9
2005,258988,184000.0,Israeli CBS via Peace Now,Gaza disengagement year,442988,323.7
2010,311100,196890.0,Israeli CBS via Peace Now,,507990,388.9
2015,385900,208000.0,Israeli CBS via Peace Now,,593900,482.4
2018,427800,215000.0,Peace Now,,642800,534.8
2020,451700,225335.0,Peace Now,,677035,564.6
2022,490500,230000.0,Peace Now,,720500,613.1
2023,502991,233600.0,Peace Now,October 7 / current acceleration,736591,628.7
2024,520000,,Peace Now,Preliminary; East Jerusalem 2024 not yet published,520000,650.0
2025,529704,246000.0,Israeli CBS via Peace Now,2025: West Bank from CBS Population Registry; East Jerusalem from Peace Now / Jerusalem Institute,775704,662.1
